"category","alpha_diversity","test_var","Value","p","term","Df","Sum Sq","Mean Sq","F value"
"Alpha Diversity","Observed","Environment",0.207023234982399,1.50851801380525e-12,"location",9,16509.1229532477,1834.3469948053,9.79739123682161
"Alpha Diversity","Observed","Maize Genotype",0.0268969288922903,0.868567176478434,"Corrected_pedigree",18,2144.90275057934,119.161263921075,0.636449660950241
"Alpha Diversity","Observed","GXE",0.258949160267007,0.0534754041763385,"location:Corrected_pedigree",83,20649.9696802232,248.794815424375,1.32883263161676
"Alpha Diversity","Observed","Residuals",0.507130675858304,NA,"Residuals",216,40441.2706709957,187.228104958313,NA
"Alpha Diversity","Simpson","Environment",0.229033449321702,9.53524291386986e-15,"location",9,0.0318145722071609,0.00353495246746233,11.5778385021814
"Alpha Diversity","Simpson","Maize Genotype",0.0205740331493997,0.946991515643899,"Corrected_pedigree",18,0.00285789724235742,0.000158772069019857,0.520017564787434
"Alpha Diversity","Simpson","GXE",0.28221719278306,0.00663443016424131,"location:Corrected_pedigree",83,0.0392022182108758,0.000472315882058745,1.54695064638794
"Alpha Diversity","Simpson","Residuals",0.468175324745838,NA,"Residuals",213,0.065033285394991,0.000305320588708878,NA
"Alpha Diversity","Shannon","Environment",0.227314234024446,9.23025927148092e-15,"location",9,15.1122891260908,1.67914323623231,11.5278452274803
"Alpha Diversity","Shannon","Maize Genotype",0.0249640451523058,0.871541259558377,"Corrected_pedigree",18,1.65965791679309,0.0922032175996161,0.633004021949326
"Alpha Diversity","Shannon","GXE",0.267899783698124,0.0136752872502782,"location:Corrected_pedigree",83,17.8104948220173,0.214584274964064,1.47318838361123
"Alpha Diversity","Shannon","Residuals",0.479821937125124,NA,"Residuals",219,31.8994887143583,0.145659765818988,NA
"Alpha Diversity","Simpson.reflect_log","Environment",0.231033763549443,4.64242168176998e-15,"location",9,15.8606599358666,1.76229554842963,11.769339084944
"Alpha Diversity","Simpson.reflect_log","Maize Genotype",0.0288848829785032,0.772094219361323,"Corrected_pedigree",18,1.98297122970642,0.110165068317023,0.735727923443059
"Alpha Diversity","Simpson.reflect_log","GXE",0.262414634964909,0.0172870839865701,"location:Corrected_pedigree",83,18.014982846792,0.217047986105928,1.44953628718021
"Alpha Diversity","Simpson.reflect_log","Residuals",0.477666718507145,NA,"Residuals",219,32.7922173301818,0.149736152192611,NA
"Alpha Diversity","Observed.log","Environment",0.207356862905317,3.82970452909112e-13,"location",9,12.2706223013532,1.36340247792814,10.2404305699044
"Alpha Diversity","Observed.log","Maize Genotype",0.0259010616401912,0.865983322459378,"Corrected_pedigree",18,1.53273028988666,0.085151682771481,0.63956895300423
"Alpha Diversity","Observed.log","GXE",0.27402024802878,0.0144892589089329,"location:Corrected_pedigree",83,16.2155181139079,0.195367688119372,1.46739446214694
"Alpha Diversity","Observed.log","Residuals",0.492721827425711,NA,"Residuals",219,29.1574793294117,0.133139175020145,NA
