"metric","covariate","pvalue"
"median_shannon","WDRF.Buffer.pH",1.14817447237638e-05
"median_simpson","WDRF.Buffer.pH",7.11955321299874e-05
"median_observed_features","WDRF.Buffer.pH",0.00010963864747964
"median_simpson","X.H.Sat",0.013164679558332
"median_observed_features","X1.1.Soil.pH",0.0171789121382669
"median_shannon","X1.1.Soil.pH",0.0182489058803479
"median_observed_features","Day.before.extract",0.0182856973657146
"median_shannon","X.H.Sat",0.0206018845789018
"median_observed_features","X.H.Sat",0.0217623212010779
"median_simpson","X1.1.Soil.pH",0.0246900400910541
"median_shannon","Day.before.extract",0.0293984297047846
"median_observed_features","Grower",0.0420871243139076
"median_simpson","X.Ca.Sat",0.0538958766622727
"median_simpson","Day.before.extract",0.0580907182252568
"median_observed_features","X.Ca.Sat",0.0592256924492151
"median_simpson","CEC.Sum.of.Cations.me.100g",0.0666518258663592
"median_shannon","X.Ca.Sat",0.0698696705853116
"median_shannon","CEC.Sum.of.Cations.me.100g",0.076479969936074
"median_simpson","X.Mg.Sat",0.0820902378472843
"median_shannon","X.Mg.Sat",0.0826190659044595
"median_shannon","Grower",0.0980725596226799
"median_observed_features","X.Mg.Sat",0.10471363531291
"median_observed_features","Texture",0.104991210167639
"median_simpson","Potassium.ppm.K",0.107465679871371
"median_simpson","Grower",0.138015870469473
"median_shannon","Potassium.ppm.K",0.138573509466324
"median_shannon","Texture",0.170027817244296
"median_simpson","Texture",0.225380693434009
"median_observed_features","Mehlich.P.III.ppm.P",0.250799660224168
"median_simpson","Calcium.ppm.Ca",0.253017652992375
"median_observed_features","CEC.Sum.of.Cations.me.100g",0.259792115895717
"median_shannon","Calcium.ppm.Ca",0.288605532305814
"median_shannon","Organic.Matter.LOI..",0.332496144098034
"median_simpson","Texture.No",0.379702222827603
"median_shannon","X1.1.S.Salts.mmho.cm",0.37991326931483
"median_simpson","Organic.Matter.LOI..",0.391958089208094
"median_observed_features","Potassium.ppm.K",0.406230320221963
"median_observed_features","Organic.Matter.LOI..",0.409915676788989
"median_observed_features","X1.1.S.Salts.mmho.cm",0.453523114205459
"median_simpson","X1.1.S.Salts.mmho.cm",0.495968474995526
"median_simpson","X..Clay",0.50538075585255
"median_observed_features","Sodium.ppm.Na",0.514968190517008
"median_shannon","X..Clay",0.540342873754452
"median_simpson","Sulfate.S.ppm.S",0.551833765943998
"median_simpson","X.Na.Sat",0.564927853376685
"median_shannon","Sodium.ppm.Na",0.581928610043505
"median_simpson","Sodium.ppm.Na",0.582900945667111
"median_shannon","Mehlich.P.III.ppm.P",0.601082836705606
"median_shannon","X.K.Sat",0.621782288877598
"median_shannon","Texture.No",0.624183162367075
"median_observed_features","X..Silt",0.630879325231605
"median_observed_features","X.K.Sat",0.632484056399648
"median_observed_features","X.Na.Sat",0.633404678221776
"median_observed_features","lbs.N.A",0.635640189518018
"median_observed_features","Calcium.ppm.Ca",0.636813926492256
"median_simpson","X..Sand",0.68595005522699
"median_shannon","E.Depth",0.694928840071657
"median_simpson","E.Depth",0.704670369878263
"median_simpson","X.K.Sat",0.711731026716071
"median_observed_features","Magnesium.ppm.Mg",0.712269510559477
"median_shannon","X.Na.Sat",0.741337462833689
"median_observed_features","Nitrate.N.ppm.N",0.789450545385647
"median_observed_features","X..Sand",0.790218653864471
"median_shannon","Sulfate.S.ppm.S",0.827412827432713
"median_shannon","X..Sand",0.829735532241234
"median_simpson","Magnesium.ppm.Mg",0.850267987296549
"median_simpson","Nitrate.N.ppm.N",0.856175424850795
"median_observed_features","X..Clay",0.867408511389761
"median_observed_features","E.Depth",0.884880962663778
"median_simpson","X..Silt",0.88707957692711
"median_observed_features","Sulfate.S.ppm.S",0.9139873611029
"median_shannon","Nitrate.N.ppm.N",0.926830896639804
"median_simpson","lbs.N.A",0.92731942675133
"median_shannon","X..Silt",0.930133857014467
"median_simpson","Date.Received",0.937720937034288
"median_simpson","Date.Reported",0.937720937034288
"median_shannon","Magnesium.ppm.Mg",0.950163752311349
"median_simpson","Mehlich.P.III.ppm.P",0.952114722676462
"median_shannon","Date.Received",0.95343733274891
"median_shannon","Date.Reported",0.95343733274891
"median_shannon","lbs.N.A",0.961197130027814
"median_observed_features","Date.Received",0.963712615895465
"median_observed_features","Date.Reported",0.963712615895465
"median_observed_features","Texture.No",0.986305546630922
